ID;COMMODITY;SITE_NAME;COMPANY_NA;STATE_LOCA;COUNTY;LATITUDE;LONGITUDE;PLANT_MIN
1;Aluminum;Evansville (Warrick) Smelter;Alcoa Inc;Indiana;Warrick;37915;-87336;P
2;Aluminum;Hawesville Smelter;Century Aluminum Co;Kentucky;Hancock;37942;-86786;P
3;Aluminum;Sebree Smelter;Alcan Inc;Kentucky;Henderson;3765;-875;P
4;Aluminum;Burnside Refinery;Ormet Corp;Louisiana;Ascension;30138;-90923;P
5;Aluminum;Gramercy Refinery;Kaiser Aluminum & Chemical Corp;Louisiana;Saint James;30049;-90755;P
6;Aluminum;Frederick (Eastalco) Smelter;Alcoa Inc;Maryland;Frederick;39334;-77469;P
7;Aluminum;New Madrid Smelter;Noranda Aluminum Inc;Missouri;New Madrid;3651;-89564;P
8;Aluminum;Columbia Falls Smelter;Columbia Falls Aluminum Co;Montana;Flathead;48392;-114139;P
9;Aluminum;Massena (St. Lawrence) Smelter;Alcoa Inc;New York;Saint Lawrence;44983;-7475;P
10;Aluminum;Massena Smelter;Alcoa Inc;New York;Saint Lawrence;44943;-74881;P
11;Aluminum;Hannibal Smelter;Ormet Corp;Ohio;Monroe;39675;-80873;P
12;Aluminum;Mount Holly Smelter;Alcoa Inc;South Carolina;Berkeley;33045;-8005;P
13;Aluminum;Alcoa Smelter;Alcoa Inc;Tennessee;Blount;35781;-83968;P
14;Aluminum;Point Comfort Refinery;Alcoa Inc;Texas;Calhoun;28673;-96554;P
15;Aluminum;Rockdale Smelter;Alcoa Inc;Texas;Milam;30562;-97076;P
16;Aluminum;Corpus Christi Refinery;BPU Reynolds;Texas;San Patricio;27883;-9725;P
17;Aluminum;Goldendale Smelter;Goldendale Aluminum Co;Washington;Klickitat;45729;-120681;P
18;Aluminum;Ferndale (Intalco) Smelter;Alcoa Inc;Washington;Whatcom;48847;-122706;P
19;Aluminum;Ravenswood Smelter;Century Aluminum Co;West Virginia;Jackson;38934;-81826;P
20;Antimony;Thompson Falls;US Antimony Corp;Montana;Sanders;47593;-115597;P
21;Antimony;La Porte;Laurel Industries Inc;Texas;Harris;29657;-95036;P
22;Ball Clay;Nichols Mine;Kentucky-Tennessee Clay Co;Kentucky;Carlisle;36828;-88901;M
23;Ball Clay;Hayden Mine;Kentucky-Tennessee Clay Co;Kentucky;Graves;36774;-88791;M
24;Ball Clay;Hickory Mine;Old Hickory Clay Co;Kentucky;Graves;36824;-88667;M
25;Ball Clay;Hickory Plant;Old Hickory Clay Co;Kentucky;Graves;36798;-88647;P
26;Ball Clay;Lamkin Mine;Old Hickory Clay Co;Kentucky;Graves;36814;-88668;M
27;Ball Clay;Mayfield Mine;Kentucky-Tennessee Clay Co;Kentucky;Graves;36695;-88695;M
28;Ball Clay;Mayfield Plant;Kentucky-Tennessee Clay Co;Kentucky;Graves;36795;-88649;P
29;Ball Clay;Milby Mine;Kentucky-Tennessee Clay Co;Kentucky;Graves;368;-887;M
30;Ball Clay;Sims Mine;Kentucky-Tennessee Clay Co;Kentucky;Graves;368;-887;M
31;Ball Clay;Smith Mine;Kentucky-Tennessee Clay Co;Kentucky;Graves;36782;-88659;M
32;Ball Clay;B-2 Mine;Unimin Corp;Mississippi;Benton;3597;-88222;M
33;Ball Clay;Plant 3 Site;Unimin Corp;Mississippi;Benton;36041;-88176;M
34;Ball Clay;Rooker Mine;Kentucky-Tennessee Clay Co;Mississippi;Benton;34642;-89142;M
35;Ball Clay;Aberdeen Plant;Unimin Corp;Mississippi;Monroe;33768;-88573;P
36;Ball Clay;Addison Mine;Kentucky-Tennessee Clay Co;Mississippi;Panola;34469;-90143;M
37;Ball Clay;Crenshaw Plant;Kentucky-Tennessee Clay Co;Mississippi;Panola;345;-90905;P
38;Ball Clay;Mine 23 - Perry;HC Spinks Clay Co Inc;Tennessee;Carroll;35875;-88467;M
39;Ball Clay;Mine 3;Unimin Corp;Tennessee;Carroll;36004;-88499;M
40;Ball Clay;Oglebay/Norton Mine;Kentucky-Tennessee Clay Co;Tennessee;Carroll;35898;-88442;M
41;Ball Clay;Storey Mine;Kentucky-Tennessee Clay Co;Tennessee;Carroll;35867;-88473;M
42;Ball Clay;Lowery Mine;Kentucky-Tennessee Clay Co;Tennessee;Gibson;36078;-8875;M
43;Ball Clay;Cottage Grove Mine #4;Old Hickory Clay Co;Tennessee;Henry;3641;-88461;M
44;Ball Clay;Cunningham Mine;Kentucky-Tennessee Clay Co;Tennessee;Henry;36351;-88529;M
45;Ball Clay;Mine #10 - Black Charm;HC Spinks Clay Co Inc;Tennessee;Henry;36417;-88364;M
46;Ball Clay;Mine #17 - Young;HC Spinks Clay Co Inc;Tennessee;Henry;36279;-88512;M
47;Ball Clay;Mine #32 - Johns;HC Spinks Clay Co Inc;Tennessee;Henry;3645;-88333;M
